"NWESx-E";"NWES ESF";;;;;;;;;;;;"L1";1.16700;;;;;;"NWES";;
"NWESy";"Netzwerke und Embedded Systems";;;;;;;;;;;;"L1";1.16700;;;;;;"NWES";;
"NWG";"Naturwissenschaftl. Grundlagen";;;;;;;;;;;;"L3";1.05000;;;;;;"NWG_3";;
"NWG2";"Naturwissenschaftliche Grundlagen";;;;;;;;;;;;"L2";1.10500;;;;;;"NWGA";;
"NWT1";"Netzwerktechnik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"NWTE";"Netzwerktechnik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"NWT_1x";"Netzwerktechnik x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"NWT1";;
"NWT_1y";"Netzwerktechnik y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"NWT1";;
"NWT_4A";"Netzwerktechnik - Computerpraktikum";;;;;;;;;;;;"L4A";0.95500;;;0;8454016;;;;
"OPS";"Wahlpflichtgegenstand Operations and Services";;;;;;;;;;;;"L1";1.16700;;;;;;"OIS1";;
"ORD";"ORDINARIAT";;;"I";;;;;;;;;"L2";1.10500;;;;;;;;
"P93";"Einzelne Einrechnung";;;"I";;;;;;;;;"L99";1.00000;"Entl.";;;;;"P93Z";;
"P93E";"Kustodiatspool IT/EDV - WE";;;"I";;;;;;;;;"L2";1.10500;"Entl.";;;;;;;
"PMM";"Prozessmanagement";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"POS1";"Programmieren und Softwareengineering";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"POS1x";"Programmieren und Softwareengineering x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"POS1";;
"POS1y";"Programmieren und Softwareengineering y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"POS1";;
"POS1z";"Programmieren und Softwareengineering z-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"POS1";;
"POSx-E";"POS ESF";;;;;;;;;;;;"L1";1.16700;;;;;;"POS1";;
"PRE";"Systemplanung und Projektentwicklung";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"PRMN";"Produktmanagement";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"PSB";"Persönlichkeitsbildung";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"QBT";"qualifizierte Beratungstätigkeit";;;"I";;;;;;;;;"L99";1.00000;;;16777215;9728345;;;;
"RE";"RELIGION EVANG";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"RISL";"RELIGION ISLAM.";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"RK";"RELIGION KATH.";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"RO";"RELIGION ORTHODOX";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"S";"Sprechstunde";;;"2nzS";;;;;;;;;"LX";0.00000;;;0;16776960;;;;
"SB";"Supplierbereitschaft";;;"2nz";;;;;;;;;"LX";0.00000;;;0;16055495;;"XSUP";;
"SB1";"Supplierbereitschaft";;;"2nz";;;;;;;;;"LX";0.00000;;;0;16055495;;"XSUP";;
"SICH";"Sicherheitstechniker";;;"I";;;;;;;;;"L2";1.10500;"Entl.";;;;;;;
"SKOC";"Studienkoordinator";;;"I";;;;;;;;;"L2";1.10500;;;;;;;;
"SKPH";"STILKUNDE U. KULTURPHILOSOPHIE";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"SMAP1";"Smart Productin Lab 1";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"SMAP3";"Smart Productin Lab 3";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"SOPK";"Sozial- und Personalkompetenz";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"SOPR";"Softwareentwicklung und Projektmanagement";;;;;;;;;;;;"L1";1.16700;;;;;;"SWP1";;
"SQPM";"SchulqualitätsprozessmanagerIn";;;"I";;;;;;;;;"L99";1.00000;;;;;;"QSK";;
"STK";"STILKUNDE";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"SWP1";"Softwareentwicklung und Projektmanagement";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"SWP1x";"Sofwareentwicklung und Projektmanagement X-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"SWP1";;
"SWP1y";"Sofwareentwicklung und Projektmanagement Y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"SWP1";;
"SYT";"Systemtechnik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"SYTCP_4A";"Systemtechnik - Computerpraktikum";;;;;;;;;;;;"L4A";0.95500;;;0;8454016;;;;
