296;"2AHBGM";"SLK";"BMG2";"C2.09";5;4;;
4261;"2AHBGM";"ZEP";"MGIN";"C2.09";3;1;;
4261;"2AHBGM";"ZEP";"MGIN";"C2.09";3;2;;
298;"2AHBGM";"SLK";"MGIN";"C2.09";5;1;;
298;"2AHBGM";"SLK";"MGIN";"C2.09";5;2;;
298;"2AHBGM";"WW";"MGIN";"C2.09";5;1;;
298;"2AHBGM";"WW";"MGIN";"C2.09";5;2;;
300;"2AHBGM";"CAM";"COPR";"B2.09HW";2;1;;
300;"2AHBGM";"CAM";"COPR";"B2.09HW";2;2;;
300;"2AHBGM";"CAM";"COPR";"B2.09HW";2;3;;
300;"2AHBGM";"CAM";"COPR";"B2.09HW";2;4;;
300;"2AHBGM";"BW";"COPR";"B1.15HW";2;1;;
300;"2AHBGM";"BW";"COPR";"B1.15HW";2;2;;
300;"2AHBGM";"BW";"COPR";"B1.15HW";2;3;;
300;"2AHBGM";"BW";"COPR";"B1.15HW";2;4;;
302;"3AKIF";"PT";"PRE";"C2.14";5;6;;
302;"3AKIF";"PT";"PRE";"C2.14";5;7;;
303;"3CAIF";"FOE";"E1";"A2.20";5;12;;
303;"3CAIF";"FOE";"E1";"A2.20";5;13;;
303;"3CAIF";"RUD";"E1";"A1.14";5;12;;
303;"3CAIF";"RUD";"E1";"A1.14";5;13;;
304;"3AKIF";"BRS";"DBI1";"C2.11";2;11;;
304;"3AKIF";"BRS";"DBI1";"C2.11";2;12;;
304;"3AKIF";"KOR";"DBI1";"C2.11";2;11;;
304;"3AKIF";"KOR";"DBI1";"C2.11";2;12;;
305;"3CAIF";"PUC";"PRE";"B5.09";1;11;;
305;"3CAIF";"PUC";"PRE";"B5.09";1;12;;
305;"3CAIF";"NAH";"PRE";"B5.09";1;11;;
305;"3CAIF";"NAH";"PRE";"B5.09";1;12;;
306;"3CAIF";"NAH";"PRE";"A2.13";5;5;;
306;"3CAIF";"NAH";"PRE";"A2.13";5;6;;
307;"3CAIF";"EN";"TINF_1";"B5.08";3;7;;
307;"3CAIF";"EN";"TINF_1";"B5.08";3;8;;
308;"3CAIF";"HB";"COPR";"B2.09HW";1;8;;
308;"3CAIF";"HB";"COPR";"B2.09HW";1;9;;
308;"3CAIF";"HB";"COPR";"B1.07HW";1;10;;
308;"3CAIF";"RAR";"COPR";"B3.06MF";1;8;;
308;"3CAIF";"RAR";"COPR";"B3.06MF";1;9;;
308;"3CAIF";"RAR";"COPR";"B3.06MF";1;10;;
309;"3CAIF";"WES";"POS1";"B5.10";3;9;;
309;"3CAIF";"WES";"POS1";"B5.10";3;10;;
309;"3CAIF";"WES";"POS1";"B5.10";3;11;;
312;"3AKIF";"SIS";"WIR3";"A1.17";1;11;;
312;"3AKIF";"SIS";"WIR3";"A1.17";1;12;;
313;"3CAIF";"CES";"WIR3";"A2.20";5;7;;
313;"3CAIF";"CES";"WIR3";"A2.20";5;8;;
4286;"3BHIF";"SWA";"GGPB";"C4.07";3;3;;
4420;"1AHWIT";"LAN";"WPT_3";"DE.21L";4;1;;
4420;"1AHWIT";"LAN";"WPT_3";"DE.21L";4;2;;
4420;"1AHWIT";"LAN";"WPT_3";"DE.21L";4;3;;
4420;"1AHWIT";"WAA";"WPT_3";"DE.06L";4;1;;
4420;"1AHWIT";"WAA";"WPT_3";"DE.06L";4;2;;
